0000074059;-00003;-00057;-00341;-00003;-00061;-00341;-02884;00649;-02699;-02839;00348;-02883
0000074064;-00003;-00057;-00338;-00003;-00060;-00340;-02801;00580;-02669;-02837;00404;-02853
0000074078;-00005;-00057;-00336;-00003;-00059;-00339;-02924;00843;-02462;-02934;00505;-02787
0000074083;-00005;-00059;-00342;-00003;-00058;-00339;-02977;00288;-02810;-02913;00497;-02771
0000074093;-00005;-00056;-00329;-00003;-00058;-00337;-02489;00875;-02929;-02867;00494;-02841
0000074124;-00002;-00057;-00338;-00004;-00058;-00337;-02772;00441;-02809;-02943;00502;-02822
0000074172;-00003;-00054;-00337;-00005;-00058;-00336;-02769;00707;-02739;-02956;00592;-02732
0000074213;-00008;-00062;-00345;-00006;-00061;-00340;-02887;00446;-02710;-02909;00538;-02820
0000074233;-00007;-00067;-00340;-00005;-00062;-00341;-02785;-00051;-02748;-02926;00503;-02780
0000074269;-00009;-00062;-00336;-00007;-00062;-00338;-02913;00261;-02499;-02999;00464;-02720
0000074281;-00007;-00060;-00336;-00008;-00063;-00337;-03198;00424;-02467;-03093;00486;-02609
0000074286;-00014;-00058;-00335;-00009;-00062;-00337;-03318;00448;-02346;-03119;00471;-02580
0000074327;-00009;-00063;-00331;-00010;-00060;-00332;-03417;00176;-02507;-03263;00468;-02428
0000074332;-00010;-00059;-00336;-00010;-00060;-00332;-03135;00889;-02142;-03259;00504;-02364
0000074336;-00013;-00059;-00326;-00010;-00060;-00331;-03151;00674;-02155;-03246;00555;-02338
0000074353;-00022;-00058;-00324;-00012;-00058;-00330;-03594;00584;-01949;-03362;00566;-02241
0000074375;-00014;-00060;-00321;-00014;-00057;-00326;-03760;00431;-01802;-03459;00619;-02113
0000074394;-00019;-00050;-00333;-00015;-00054;-00327;-02347;01346;-02178;-03189;00724;-02136
0000074411;-00023;-00058;-00337;-00017;-00055;-00331;-02291;01293;-02405;-02865;01020;-02584
0000074428;-00019;-00051;-00329;-00018;-00055;-00330;-02810;01170;-02806;-02857;01098;-02653
0000074433;-00019;-00057;-00332;-00019;-00055;-00331;-03276;01034;-02396;-02876;01104;-02648
0000074438;-00018;-00055;-00325;-00019;-00055;-00330;-03477;01502;-02088;-02972;01149;-02578
0000074442;-00017;-00050;-00330;-00018;-00054;-00329;-02740;01692;-02277;-02940;01255;-02528
0000074455;-00017;-00055;-00328;-00018;-00054;-00330;-02930;01542;-02366;-02933;01229;-02602
0000074462;-00020;-00053;-00328;-00018;-00053;-00329;-02942;01076;-02603;-02938;01228;-02565
0000074510;-00021;-00045;-00320;-00021;-00052;-00323;-03438;01285;-01764;-03251;01176;-02216
0000074541;-00025;-00059;-00318;-00023;-00054;-00320;-03545;00857;-01658;-03376;01191;-01973
0000074546;-00025;-00055;-00317;-00023;-00054;-00320;-03420;00741;-02051;-03389;01118;-01978
0000074551;-00025;-00055;-00314;-00023;-00054;-00319;-03420;01295;-01930;-03408;01122;-01969
0000074556;-00024;-00054;-00313;-00023;-00054;-00318;-03475;01581;-01444;-03427;01197;-01873
0000074570;-00022;-00053;-00313;-00023;-00054;-00317;-03749;01198;-01513;-03496;01157;-01815
0000074582;-00026;-00046;-00318;-00024;-00052;-00317;-03593;00779;-02097;-03519;01022;-01778
0000074592;-00020;-00039;-00321;-00024;-00048;-00317;-02028;02585;-02706;-03167;01424;-01938
0000074611;-00031;-00046;-00322;-00025;-00044;-00320;-02914;01565;-02336;-02924;01618;-02235
0000074631;-00026;-00048;-00324;-00025;-00046;-00321;-03154;01376;-01878;-02955;01612;-02267
0000074635;-00030;-00044;-00318;-00026;-00045;-00320;-03110;01788;-01733;-02972;01651;-02237
0000074660;-00024;-00046;-00322;-00026;-00046;-00319;-03188;01342;-01889;-03122;01530;-02138
0000074664;-00026;-00050;-00323;-00025;-00046;-00319;-03274;01129;-02432;-03140;01472;-02160
0000074669;-00025;-00048;-00314;-00025;-00047;-00318;-03137;01537;-01973;-03141;01477;-02151
0000074674;-00028;-00049;-00320;-00026;-00047;-00318;-03247;01225;-01888;-03157;01451;-02115
0000074679;-00034;-00052;-00311;-00027;-00048;-00317;-03277;01316;-02614;-03176;01417;-02154
0000074684;-00030;-00043;-00319;-00027;-00047;-00317;-03249;01498;-02014;-03184;01456;-02146
0000074693;-00028;-00050;-00317;-00027;-00047;-00317;-03617;01180;-02199;-03204;01400;-02136
0000074710;-00026;-00042;-00319;-00027;-00047;-00316;-03408;01635;-02097;-03240;01371;-02025
0000074727;-00033;-00045;-00314;-00029;-00048;-00315;-03476;01051;-02163;-03335;01328;-01972
0000074734;-00033;-00053;-00311;-00029;-00048;-00315;-03379;01684;-02095;-03346;01364;-01975
0000074768;-00028;-00052;-00315;-00028;-00049;-00313;-03028;01124;-02321;-03381;01284;-01886
0000074773;-00031;-00050;-00306;-00028;-00050;-00312;-03521;01098;-01786;-03375;01258;-01882
0000074780;-00029;-00056;-00311;-00029;-00051;-00312;-03493;01023;-01896;-03453;01160;-01858
0000074785;-00033;-00051;-00305;-00029;-00051;-00311;-03506;01111;-01709;-03442;01169;-01848
0000074795;-00038;-00061;-00310;-00030;-00052;-00310;-03592;00982;-01766;-03452;01136;-01825
0000074799;-00029;-00055;-00310;-00030;-00052;-00310;-03660;00822;-01618;-03494;01089;-01786
0000074807;-00030;-00047;-00314;-00030;-00051;-00311;-03459;01484;-01514;-03453;01079;-01730
0000074821;-00028;-00053;-00309;-00030;-00051;-00310;-03664;01138;-01721;-03493;01094;-01693
0000074833;-00031;-00048;-00307;-00030;-00050;-00307;-03708;00712;-01706;-03541;01117;-01635
0000074840;-00032;-00057;-00312;-00030;-00050;-00308;-03481;01730;-01690;-03544;01182;-01619
0000074862;-00032;-00043;-00312;-00030;-00048;-00310;-03373;01244;-01683;-03440;01203;-01616
0000074891;-00022;-00048;-00325;-00025;-00046;-00318;-03028;01216;-02614;-02976;01439;-02314
0000074930;-00028;-00049;-00318;-00026;-00048;-00320;-02993;01193;-02370;-03003;01379;-02387
0000074949;-00026;-00054;-00315;-00026;-00050;-00319;-03151;00600;-02764;-03001;01260;-02465
0000074985;-00024;-00050;-00316;-00026;-00049;-00316;-03009;01849;-01872;-03094;01436;-02240
0000075000;-00021;-00043;-00320;-00025;-00047;-00316;-03518;01905;-01658;-03065;01523;-02181
0000075007;-00022;-00049;-00318;-00024;-00047;-00316;-03094;01012;-02351;-03061;01497;-02174
0000075014;-00028;-00046;-00315;-00025;-00047;-00316;-03093;01253;-02127;-03087;01438;-02182
0000075021;-00028;-00050;-00310;-00025;-00048;-00314;-03376;01866;-01699;-03147;01439;-02138
0000075033;-00028;-00051;-00313;-00025;-00048;-00315;-03229;01543;-02112;-03184;01397;-02113
0000075038;-00022;-00055;-00317;-00025;-00049;-00315;-03539;01134;-01858;-03241;01378;-02060
0000075043;-00028;-00048;-00322;-00025;-00049;-00315;-02524;01567;-02787;-03129;01392;-02167
0000075070;-00002;-00046;-00341;-00018;-00052;-00326;-03001;00874;-02639;-02721;01124;-02753
0000075135;-00005;-00046;-00326;-00005;-00043;-00327;-02491;01355;-02764;-02742;01638;-02459
0000075188;-00005;-00047;-00328;-00004;-00046;-00328;-03218;01375;-02280;-02896;01497;-02484
0000075193;-00008;-00046;-00329;-00005;-00046;-00328;-02468;01218;-02726;-02801;01483;-02505
0000075200;-00010;-00046;-00328;-00006;-00046;-00329;-02634;01469;-02388;-02850;01393;-02502
0000075238;-00012;-00052;-00327;-00010;-00049;-00331;-02891;01528;-02360;-02902;01273;-02533
0000075248;-00008;-00051;-00326;-00009;-00049;-00330;-03093;00996;-02624;-02922;01194;-02540
0000075260;-00012;-00047;-00326;-00010;-00049;-00328;-02928;01228;-02661;-02942;01238;-02488
0000075270;-00015;-00051;-00328;-00010;-00049;-00328;-02982;01536;-01827;-02991;01314;-02412
0000075279;-00016;-00046;-00322;-00011;-00049;-00327;-03068;01486;-02217;-03034;01299;-02394
0000075287;-00015;-00050;-00322;-00011;-00049;-00326;-03083;00879;-02703;-03031;01279;-02405
0000075381;-00022;-00046;-00325;-00018;-00047;-00324;-02813;01991;-02649;-02974;01573;-02328
0000075385;-00022;-00040;-00318;-00018;-00046;-00323;-02591;01851;-02107;-02883;01644;-02297
0000075390;-00015;-00046;-00323;-00018;-00046;-00323;-03016;01654;-02345;-03013;01594;-02280
0000075395;-00016;-00046;-00325;-00018;-00046;-00323;-02928;01868;-02405;-03011;01625;-02269
0000075410;-00017;-00049;-00323;-00017;-00045;-00322;-02861;01640;-02201;-02985;01670;-02219
0000075429;-00018;-00044;-00324;-00018;-00046;-00322;-03125;02354;-01692;-03054;01649;-02119
0000075438;-00019;-00046;-00322;-00018;-00045;-00321;-03257;01000;-02302;-03004;01613;-02157
